PassengerId,Survived_pred,Probability
892,0,0.15681948554922326
893,0,0.41084999918546306
894,0,0.12842553046131552
895,0,0.14425696621881295
896,0,0.4562175349798413
897,0,0.17703125079484375
898,1,0.8487814847487166
899,0,0.16627755276698808
900,1,0.7772261873117189
901,0,0.10144654343690318
902,0,0.1439146848561079
903,0,0.1546048434773003
904,1,0.8876510669665109
905,0,0.15765804444593576
906,1,0.9102641635430816
907,1,0.8888523700376526
908,0,0.13441945577894227
909,0,0.16872598628959437
910,0,0.41527189570225237
911,1,0.5252583934926758
912,0,0.2673363005274697
913,1,0.5168922630754693
914,1,0.9014838038195441
915,0,0.28364373026511197
916,1,0.5114574327558755
917,0,0.1366397896367167
918,1,0.8943458754276202
919,0,0.16364964507164817
920,0,0.1536892547940229
921,0,0.15447295207137365
922,0,0.15329899427126115
923,0,0.136666287854314
924,0,0.3358023225685359
925,0,0.36626710991527395
926,0,0.2134717543836431
927,0,0.18013328675849002
928,1,0.5132068817201759
929,1,0.5388275999499168
930,0,0.1447887326161254
931,0,0.25814619432825264
932,0,0.10853853832203723
933,0,0.15442952985741284
934,0,0.1550784555115172
935,1,0.8596380929458103
936,1,0.9113582125059404
937,0,0.1427185301358332
938,0,0.15727810324163755
939,0,0.151261400852342
940,1,0.8112208533300783
941,0,0.5
942,0,0.17898921819604877
943,0,0.1318409569500026
944,1,0.7385696809045986
945,1,0.8516909271683765
946,0,0.13094963809626425
947,0,0.1276821596518796
948,0,0.15138406641581445
949,0,0.1423677595767793
950,0,0.11557775275552387
951,1,0.8231034944382718
952,0,0.15805508748072206
953,0,0.14429078544960286
954,0,0.15382580987306582
955,1,0.8577258463257672
956,0,0.5058825231685857
957,1,0.8717170838589512
958,1,0.8556333450158188
959,0,0.1548702318352374
960,0,0.15255100651539072
961,0,0.24919232554119175
962,1,0.8575319811068994
963,0,0.14598282818107494
964,1,0.5103360959542239
965,0,0.1546652733304341
966,1,0.8507706310703623
967,0,0.15822996583912238
968,0,0.14411673315845613
969,1,0.7990972574700278
970,0,0.14205653137395557
971,1,0.8575319811068994
972,1,0.6420437248054328
973,0,0.5
974,0,0.1541951416657214
975,0,0.1439146848561079
976,0,0.13129704665815092
977,0,0.14826616176089544
978,1,0.8550878105427512
979,1,0.5523532643285366
980,1,0.8533419208552725
981,1,0.8694275015479437
982,0,0.4519154826816702
983,0,0.1437571046748851
984,1,0.9189651850929956
985,0,0.14411673315845613
986,0,0.1614354103836063
987,0,0.14255333734294143
988,1,0.6996469245713366
989,0,0.1448078712895947
990,1,0.5407717958798427
991,0,0.14938154109219204
992,1,0.8957880164842201
993,0,0.1381410740073393
994,0,0.151261400852342
995,0,0.14266701993249584
996,1,0.8109971288810083
997,0,0.16770129644367535
998,0,0.15281551988804354
999,0,0.151261400852342
1000,0,0.1449962993029552
1001,0,0.15889219336506932
1002,0,0.13180240979917437
1003,1,0.8533797738623868
1004,1,0.8518361520553247
1005,1,0.8554180896187302
1006,1,0.8027925637379282
1007,0,0.20367594334409686
1008,0,0.15256872818849976
1009,1,0.8327225716314899
1010,0,0.1599127144067328
1011,1,0.8534708508329476
1012,1,0.8507113794694227
1013,0,0.15199291128909437
1014,1,0.8974274093685455
