PassengerId,Survived_pred,Probability_sur
892,0,0.048976376666396315
893,0,0.048454807604034554
894,1,0.576033098919535
895,0,0.33224756705598024
896,0,0.308180122446579
897,0,0.031784107905850706
898,0,0.12542228443346431
899,0,0.05535491167750268
900,1,0.9630885328405113
901,0,0.019455873472062554
902,0,0.03709612476814316
903,0,0.053595653410880496
904,1,0.9592081602332271
905,0,0.10849635556117171
906,1,0.8605797196494483
907,1,0.9481551130953162
908,0,0.12192332206702468
909,1,0.6094200281473564
910,1,0.5421885825048581
911,0,0.16930510442203542
912,0,0.25520015697150744
913,0,0.1908292997424656
914,1,0.9680658467049398
915,1,0.6370497861140176
916,1,0.9912516448822236
917,0,0.03195490522535401
918,1,0.9937497897506035
919,1,0.6094200281473564
920,1,0.5571011892590166
921,0,0.09305618030330068
922,0,0.0518146380127935
923,0,0.03901629852719967
924,1,0.5289081722794956
925,0,0.1256013542424504
926,1,0.837770489397784
927,0,0.23098028390625544
928,0,0.17812223252033033
929,0,0.11233544710919442
930,0,0.06633161251630308
931,1,0.8575785871644637
932,0,0.06334295272944789
933,0,0.4296710901171211
934,0,0.056859391130855294
935,1,0.9309213635963766
936,1,0.9823731241616833
937,0,0.13606993668413814
938,0,0.15825839165374278
939,0,0.05707642051959847
940,1,0.9896633848033315
941,1,0.9149449305083192
942,0,0.3748786350039116
943,0,0.2766007140197111
944,1,0.9195307415358405
945,1,0.9155189163652114
946,0,0.2455283770907668
947,0,0.006270441274593649
948,0,0.04702307080629279
949,0,0.07175566871783785
950,0,0.058721976618804315
951,1,0.9874548324200499
952,0,0.04705958702462718
953,0,0.17325448317605502
954,0,0.09800865949714573
955,1,0.901265895786698
956,0,0.10098343846290983
957,1,0.8389483506046603
958,1,0.7780838307907328
959,0,0.12943749133978125
960,0,0.25602443661575625
961,1,0.871082484227464
962,1,0.7798034966151054
963,0,0.033388939330985565
964,0,0.4052747617010925
965,0,0.14902688804293307
966,1,0.987509564293722
967,0,0.17618271184319756
968,0,0.06353094393040852
969,1,0.9399187709193052
970,0,0.15753577069600824
971,1,0.7798034966151054
972,1,0.9950904116877222
973,0,0.05234114454574758
974,1,0.6259894167647573
975,0,0.03709612476814316
976,0,0.06334441934704287
977,0,0.04007327611261494
978,1,0.9502451192097877
979,0,0.30869193065054085
980,1,0.8376820459542272
981,1,0.9837975452686395
982,0,0.17078228478978594
983,0,0.09500998996403473
984,1,0.7301219684904591
985,0,0.06353094393040852
986,1,0.5874008695186003
987,0,0.10737906749579516
988,1,0.9969574797302143
989,0,0.2605378587985774
990,0,0.4366063140265957
991,0,0.1267321486830663
992,1,0.9858909210236669
993,0,0.06922068792633937
994,0,0.05707642051959847
995,0,0.11402750450651723
996,1,0.5010100626987636
997,0,0.06266695742383606
998,0,0.05930151339416046
999,0,0.05707642051959847
1000,0,0.05305013058664868
1001,0,0.07555887870922758
1002,0,0.04060884572391741
1003,1,0.8521191129124177
1004,1,0.99170352788437
1005,1,0.8284921213139599
1006,1,0.9809335099352546
1007,0,0.06240736432812148
1008,0,0.02803450181275397
1009,1,0.9717063167889076
1010,1,0.589289591736918
1011,1,0.9539064155229152
1012,1,0.9882315867338997
1013,0,0.037797553565245945
1014,1,0.9881022786076794
1015,0,0.03630584825537834
1016,0,0.05707642051959847
1017,1,0.8976332487078469
1018,0,0.08603230995443273
1019,1,0.7699694372963848
1020,0,0.2389659331919355
1021,0,0.055835907624280035
1022,0,0.17110055511081063
1023,0,0.010227284160750725
1024,0,0.06223174206279336
1025,0,0.02803450181275397
1026,0,0.05205523234904514
1027,0,0.08384349622665835
1028,0,0.43899088336877834
1029,0,0.0648659312545045
1030,0,0.13267415426081952
1031,0,0.0071864168210962
1032,0,0.05237327473041778
1033,1,0.9783299812759545
1034,0,0.3206207719666089
1035,0,0.06890052771164579
1036,1,0.5266540280631463
1037,0,0.17708121814980002
1038,0,0.08947306669373217
1039,0,0.057339318037934156
1040,0,0.4296710901171211
1041,0,0.09105680025911868
1042,1,0.9893728743328055
1043,0,0.1891054866610128
1044,0,0.02085402478220619
1045,1,0.6593074009747761
1046,0,0.059246093773790885
1047,0,0.0510554777888273
1048,1,0.976366819814475
1049,0,0.45511457387796184
1050,1,0.5266540280631463
1051,0,0.4115142411954467
1052,1,0.8918156512040748
1053,1,0.9894536936479659
1054,1,0.7123601762414841
1055,0,0.02334213227713473
1056,0,0.15748486278603482
1057,0,0.3689043416230886
1058,1,0.8421918567489216
1059,0,0.016204042822675867
1060,1,0.947618748519912
1061,0,0.16368017245324962
1062,0,0.03251007252326858
1063,1,0.7659771773436916
1064,0,0.02593583067192875
1065,0,0.09859116751392913
1066,0,0.031497913999757585
1067,1,0.9594359857313968
1068,1,0.97454102056651
1069,0,0.2437816231942258
1070,1,0.9577731812838721
1071,1,0.9793419319417414
1072,0,0.15753577069600824
1073,0,0.24930957334474887
1074,1,0.9670014972485504
1075,0,0.05707642051959847
1076,1,0.930626948403952
1077,0,0.09275122291717028
1078,1,0.8104775803484917
1079,0,0.36172665649406116
1080,0,0.05775539577269549
1081,0,0.15748486278603482
1082,0,0.11309384011940535
1083,0,0.16717906761335694
1084,0,0.4665303001685042
1085,0,0.039753723854150914
1086,1,0.8637177879894495
1087,0,0.07498109041443007
1088,1,0.9804141549077772
1089,0,0.2665813335616952
1090,0,0.06768859931115175
1091,0,0.1584282174238286
1092,1,0.9627056599424879
1093,1,0.9810979870445551
1094,0,0.08083072995910658
1095,1,0.9547906100800289
1096,0,0.06691262935274944
1097,0,0.23689539232022197
1098,1,0.5223868470940379
1099,0,0.06593281488134577
1100,1,0.9626290425561728
1101,0,0.04227778672066463
